Reported_Power_Median,Measured_Power_Median,Ratio_Median_Power,Enb_Config,Non_Enb_Config,Round,Total_Tx_Power,Negative_Power_Headroom_Percentage
-28.021,-93.417,65.396,6,17,1,-22.0,0.0
-6.021,-71.372,65.351,6,18,1,0.0,0.0
-28.021,-93.45700000000001,65.436,6,19,1,-22.0,0.0
-7.021,-72.395,65.374,6,20,1,-1.0,0.0
-27.01,-92.559,65.54899999999999,6,21,1,-24.0,0.0
-7.01,-72.518,65.508,6,22,1,-3.5,0.012
-28.01,-93.56,65.55,6,23,1,-25.0,0.0
-6.01,-71.764,65.75399999999999,6,24,1,0.0,0.073
-27.021,-92.46,65.439,6,25,1,-21.0,0.0
-7.021,-72.465,65.444,6,26,1,-1.0,0.047
-27.01,-92.448,65.43799999999999,6,27,1,-24.0,0.0
-6.01,-72.128,66.118,6,28,1,-3.0,0.113
-27.01,-92.476,65.466,6,29,1,-22.5,0.0
-7.01,-72.497,65.487,6,30,1,-4.0,0.0
-28.01,-93.28,65.27,6,31,1,-25.0,0.0
-6.01,-71.572,65.562,6,32,1,-3.0,0.013000000000000001
-28.021,-93.661,65.64,6,1,2,-22.0,0.0
-26.021,-91.726,65.705,6,3,2,-20.0,0.0
-8.021,-73.584,65.563,6,4,2,-1.5,0.037000000000000005
-27.021,-92.72,65.699,6,5,2,-21.0,0.0
-27.021,-92.787,65.766,6,7,2,-21.0,0.0
-7.021,-73.003,65.982,6,8,2,-1.0,0.07200000000000001
-27.021,-92.749,65.728,6,9,2,-21.0,0.0
-8.021,-73.977,65.956,6,10,2,-2.0,0.078
-26.01,-91.72200000000001,65.712,6,11,2,-23.0,0.0
-27.021,-92.706,65.685,6,13,2,-21.0,0.0
-7.021,-72.832,65.81099999999999,6,14,2,-1.0,0.035
-27.01,-92.73200000000001,65.72200000000001,6,15,2,-24.0,0.0
-6.01,-71.637,65.627,6,16,2,-3.0,0.0
-27.021,-92.71,65.689,6,17,2,-21.0,0.0
-5.021,-70.722,65.701,6,18,2,1.0,0.0
-27.021,-92.72399999999999,65.70299999999999,6,19,2,-21.0,0.0
-6.021,-71.67699999999999,65.65599999999999,6,20,2,0.0,0.0
-27.01,-92.773,65.76299999999999,6,21,2,-24.0,0.0
-5.01,-70.747,65.737,6,22,2,-2.0,0.0
-28.01,-93.81200000000001,65.802,6,23,2,-25.0,0.0
-8.01,-73.76899999999999,65.75899999999999,6,24,2,-5.0,0.0
-27.021,-92.729,65.708,6,25,2,-21.0,0.0
-7.01,-72.415,65.405,6,26,2,-0.5,0.0
-27.01,-92.79700000000001,65.787,6,27,2,-24.0,0.0
-6.01,-73.535,67.52499999999999,6,28,2,-2.5,0.087
-27.01,-92.805,65.795,6,29,2,-24.0,0.0
-5.01,-70.903,65.893,6,30,2,-2.5,0.0
-25.01,-90.58,65.57,6,31,2,-22.0,0.0
-27.021,-93.435,66.414,6,1,3,-21.0,0.0
-27.021,-93.43700000000001,66.41600000000001,6,3,3,-21.0,0.0
-7.021,-73.493,66.472,6,4,3,-1.0,0.039
-27.021,-93.42299999999999,66.40199999999999,6,5,3,-21.0,0.0
-27.021,-93.463,66.442,6,7,3,-21.0,0.0
-7.021,-73.70100000000001,66.68,6,8,3,-1.0,0.079
-27.021,-93.43799999999999,66.41699999999999,6,9,3,-21.0,0.0
-7.021,-73.679,66.658,6,10,3,-1.0,0.077
-27.01,-93.42299999999999,66.41299999999998,6,11,3,-24.0,0.0
-26.021,-92.441,66.42,6,13,3,-20.0,0.0
-6.021,-72.493,66.472,6,14,3,0.0,0.036000000000000004
-26.01,-92.40100000000001,66.391,6,15,3,-23.0,0.0
-6.01,-72.433,66.423,6,16,3,-3.0,0.11
-27.021,-93.501,66.48,6,17,3,-21.0,0.0
-4.021,-70.857,66.836,6,18,3,2.0,0.0
-27.01,-93.021,66.011,6,19,3,-20.5,0.0
-6.021,-72.315,66.294,6,20,3,0.0,0.0
-25.021,-92.03299999999999,67.01199999999999,6,21,3,-23.0,0.0
-5.01,-71.331,66.321,6,22,3,-2.0,0.027000000000000003
-26.01,-92.492,66.482,6,23,3,-23.0,0.0
-6.01,-72.402,66.392,6,24,3,-3.0,0.006999999999999999
-26.021,-92.428,66.407,6,25,3,-20.0,0.0
-6.021,-72.402,66.381,6,26,3,0.0,0.006
-27.01,-93.48299999999999,66.47299999999998,6,27,3,-24.0,0.0
-27.01,-93.48,66.47,6,29,3,-24.0,0.0
-6.01,-72.398,66.38799999999999,6,30,3,-3.0,0.0
-26.01,-92.31200000000001,66.302,6,31,3,-23.0,0.0
-6.01,-72.377,66.36699999999999,6,32,3,-3.0,0.048
-25.021,-92.652,67.631,7,1,1,-19.0,0.0
-5.021,-72.493,67.472,7,2,1,1.0,0.095
-26.021,-93.62799999999999,67.60699999999999,7,3,1,-20.0,0.0
-5.021,-72.4,67.379,7,4,1,1.0,0.061
-24.021,-91.73299999999999,67.71199999999999,7,5,1,-18.0,0.0
-5.021,-72.557,67.536,7,6,1,1.0,0.105
-24.021,-91.568,67.547,7,7,1,-18.0,0.0
-5.021,-72.613,67.592,7,8,1,1.0,0.063
-25.021,-92.535,67.514,7,9,1,-19.0,0.0
-5.021,-72.49600000000001,67.47500000000001,7,10,1,1.0,0.109
-25.021,-92.569,67.548,7,11,1,-19.0,0.0
-5.021,-72.568,67.547,7,12,1,1.0,0.11199999999999999
-26.021,-93.62100000000001,67.60000000000001,7,13,1,-20.0,0.0
-5.021,-72.454,67.43299999999999,7,14,1,1.0,0.063
-24.021,-91.42200000000001,67.40100000000001,7,15,1,-18.0,0.0
-5.021,-72.433,67.412,7,16,1,1.0,0.11800000000000001
-26.021,-93.465,67.444,7,17,1,-20.0,0.0
-5.021,-72.502,67.481,7,18,1,1.0,0.0
-24.781999999999996,-92.052,67.27000000000001,7,19,1,-18.5,0.0
-4.021,-71.361,67.34,7,20,1,2.0,0.0
-26.021,-93.54,67.519,7,21,1,-20.0,0.0
-5.021,-72.947,67.926,7,22,1,0.5,0.037000000000000005
-24.021,-91.745,67.724,7,23,1,-18.0,0.0
